Window Size,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,TPR,FPR
7.0,0.6472960860472065,0.6462908011869436,0.6507319988049,0.643860173289513,0.6485037963376508,0.29459912795446647,0.6507319988049,0.356139826710487
8.0,0.6458022109351658,0.6466346153846154,0.6429638482222886,0.6486405736480431,0.6447940074906366,0.2916091204909857,0.6429638482222886,0.351359426351957
9.0,0.6620854496564087,0.668425954672462,0.6432626232446967,0.6809082760681207,0.6556029232643118,0.32440085047339406,0.6432626232446967,0.3190917239318793
10.0,0.6590976994323274,0.6643011416229558,0.6432626232446967,0.6749327756199581,0.6536126290224651,0.31835509376709087,0.6432626232446967,0.3250672243800418
11.0,0.6841948013146101,0.6946637196084623,0.6573050492978787,0.7110845533313415,0.6754682222904512,0.3689234956780369,0.6573050492978787,0.2889154466686585
12.0,0.6740364505527338,0.6816339257873402,0.6531221989841649,0.6949507021213026,0.6670735428745803,0.34837779955115394,0.6531221989841649,0.30504929787869733
13.0,0.6683597251269794,0.6840901666122182,0.6256348969226173,0.7110845533313415,0.6535580524344571,0.337955526167165,0.6256348969226173,0.2889154466686585
14.0,0.6708993128174484,0.6793103448275862,0.6474454735584105,0.6943531520764864,0.6629952577635002,0.3421752822626569,0.6474454735584105,0.3056468479235136
15.0,0.6794144009560801,0.6954116498535633,0.6384822228861667,0.7203465790259934,0.6657320872274144,0.3600372740485308,0.6384822228861667,0.2796534209740066
16.0,0.6717956378846729,0.6863253402462735,0.6328054974604123,0.7107857783089334,0.6584797139748173,0.3446407407419579,0.6328054974604123,0.28921422169106664
17.0,0.6847923513594264,0.7023225384363755,0.641469973110248,0.7281147296086047,0.6705184259837602,0.3709798572236188,0.641469973110248,0.27188527039139526
18.0,0.6761278757095907,0.6925841228356746,0.6334030475052286,0.7188527039139528,0.6616729088639202,0.3535488601163155,0.6334030475052286,0.2811472960860472
19.0,0.6810576635793247,0.6992110453648915,0.6354944726620855,0.7266208544965641,0.665831898575677,0.3636282622868601,0.6354944726620855,0.2733791455034359
20.0,0.6810576635793247,0.701195219123506,0.6310128473259635,0.731102479832686,0.6642553860669916,0.36394289383306505,0.6310128473259635,0.268897520167314
21.0,0.6750821631311622,0.6932717678100264,0.6280250971018823,0.7221392291604422,0.6590374666875686,0.35172548990313085,0.6280250971018823,0.2778607708395578
22.0,0.6858380639378548,0.706781914893617,0.6351956976396773,0.7364804302360323,0.6690794649881983,0.3735973602551475,0.6351956976396773,0.26351956976396773
23.0,0.6906184642963848,0.7102834541858932,0.643860173289513,0.7373767553032566,0.6754427205767121,0.38291496833283134,0.643860173289513,0.26262324469674336
24.0,0.6829997012249776,0.696503047802374,0.6486405736480431,0.7173588288019122,0.671720297029703,0.36686663602972,0.6486405736480431,0.28264117119808785
25.0,0.6819539886465491,0.704088471849866,0.6277263220794742,0.7361816552136241,0.6637182119728322,0.3660672899369716,0.6277263220794742,0.26381834478637584
