Window Size,Accuracy,Precision,Recall,Specificity,F1-Score,MCC,TPR,FPR
7.0,0.6271287720346579,0.6276627662766276,0.625037346877801,0.6292201971915148,0.6263473053892216,0.25425976837359643,0.625037346877801,0.3707798028084852
8.0,0.6393785479533911,0.6390461997019374,0.6405736480430236,0.6381834478637586,0.6398090122351536,0.27875789218776875,0.6405736480430236,0.3618165521362414
9.0,0.6564087242306543,0.6588770864946889,0.6486405736480431,0.6641768748132656,0.6537187594098164,0.31285520871177336,0.6486405736480431,0.3358231251867344
10.0,0.6544666865850015,0.6601610904584883,0.636689572751718,0.672243800418285,0.648212927756654,0.3091288203066603,0.636689572751718,0.327756199581715
11.0,0.6701523752614281,0.6784706988404888,0.6468479235135942,0.693456827009262,0.6622820434383603,0.3406749911613813,0.6468479235135942,0.30654317299073797
12.0,0.6571556617866746,0.6659305993690852,0.6307140723035555,0.6835972512697939,0.6478441000460334,0.3147517539151546,0.6307140723035555,0.31640274873020613
13.0,0.6785180758888557,0.6899841017488076,0.6483417986256349,0.7086943531520765,0.6685150955021566,0.3576881732714899,0.6483417986256349,0.29130564684792354
14.0,0.6804601135345085,0.6926020408163265,0.6489393486704511,0.7119808783985658,0.6700601573345673,0.3616395626905995,0.6489393486704511,0.2880191216014341
15.0,0.6798625634896922,0.6978961209730441,0.634299372572453,0.7254257544069316,0.6645797464391925,0.3612280757371118,0.634299372572453,0.2745742455930684
16.0,0.6726919629518973,0.6829113924050633,0.6447564983567374,0.7006274275470571,0.6632856923313355,0.3459242596966319,0.6447564983567374,0.2993725724529429
17.0,0.6856886764266508,0.7001610305958132,0.6495368987152674,0.7218404541380341,0.6738995660260385,0.37235191968464043,0.6495368987152674,0.27815954586196595
18.0,0.6870331640274873,0.7056504599211564,0.6417687481326562,0.7322975799223185,0.6721952746049131,0.37560863909805003,0.6417687481326562,0.2677024200776815
19.0,0.6794144009560801,0.6969498196129879,0.6348969226172692,0.723931879294891,0.6644777986241401,0.36025957213789794,0.6348969226172692,0.27606812070510905
20.0,0.6898715267403646,0.7057300097118808,0.6513295488497162,0.7284135046310128,0.6774394033561218,0.380876310801432,0.6513295488497162,0.27158649536898716
21.0,0.6870331640274873,0.7083888149134487,0.6357932476844935,0.738273080370481,0.6701306880806172,0.37604618025785685,0.6357932476844935,0.261726919629519
22.0,0.6861368389602629,0.7075283144570287,0.6345981475948611,0.7376755303256648,0.6690817451567176,0.37426727245587327,0.6345981475948611,0.2623244696743352
23.0,0.6719450253958769,0.6902479338842975,0.6238422467881685,0.7200478040035853,0.6553672316384179,0.34549262264704056,0.6238422467881685,0.2799521959964147
24.0,0.6834478637585898,0.7052139037433155,0.6304152972811473,0.7364804302360323,0.6657201451333018,0.3689770590734927,0.6304152972811473,0.26351956976396773
